"ProcessName","Path","Id"
"GameBar","C:\Program Files\WindowsApps\Microsoft.XboxGamingOverlay_5.823.7272.0_x64__8wekyb3d8bbwe\GameBar.exe","7020"
"GameBarFTServer","C:\Program Files\WindowsApps\Microsoft.XboxGamingOverlay_5.823.7272.0_x64__8wekyb3d8bbwe\GameBarFTServer.exe","7208"
"GameManagerService","C:\Program Files (x86)\Razer\Razer Services\GMS\GameManagerService.exe","3868"
"git-bash","C:\Program Files\Git\git-bash.exe","12116"
"GoogleCrashHandler","C:\Program Files (x86)\Google\Update\1.3.36.312\GoogleCrashHandler.exe","8564"
"GoogleCrashHandler64","C:\Program Files (x86)\Google\Update\1.3.36.312\GoogleCrashHandler64.exe","2060"
"Idle",,"0"
"LocationNotificationWindows","C:\WINDOWS\System32\LocationNotificationWindows.exe","8372"
"lsass","C:\WINDOWS\system32\lsass.exe","1104"
"Memory Compression",,"2296"
"mintty","C:\Program Files\Git\usr\bin\mintty.exe","5852"
"MsMpEng",,"3984"
"NisSrv",,"8160"
"PhoneExperienceHost","C:\Program Files\WindowsApps\Microsoft.YourPhone_1.23082.131.0_x64__8wekyb3d8bbwe\PhoneExperienceHost.exe","12348"
"powershell_ise","C:\Windows\System32\WindowsPowerShell\v1.0\powershell_ise.exe","13200"
"RadeonSoftware","C:\Program Files\AMD\CNext\CNext\RadeonSoftware.exe","11060"
"Razer Synapse Service","C:\Program Files (x86)\Razer\Synapse3\Service\Razer Synapse Service.exe","6476"
"Razer Synapse Service Process","C:\Program Files (x86)\Razer\Synapse3\Service\..\UserProcess\Razer Synapse Service Process.exe","3516"
"RazerCentralService","C:\Program Files (x86)\Razer\Razer Services\Razer Central\RazerCentralService.exe","3908"
"Registry",,"172"
"RiotClientCrashHandler","C:\Riot Games\Riot Client\RiotClientCrashHandler.exe","7452"
"RiotClientServices","C:\Riot Games\Riot Client\RiotClientServices.exe","8260"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","1800"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","2064"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","4716"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","6740"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","9172"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","9460"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","10828"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","11412"
"RzChromaStreamServer","C:\Program Files (x86)\Razer Chroma SDK\bin\RzChromaStreamServer.exe","3932"
"RzSDKServer","C:\Program Files (x86)\Razer Chroma SDK\bin\RzSDKServer.exe","3884"
"RzSDKService","C:\Program Files (x86)\Razer Chroma SDK\bin\RzSDKService.exe","3876"
"Screen Recorder Launcher-JRE14","C:\Users\jokos\AppData\Local\Screen Recorder Launcher JRE14\Screen Recorder Launcher-JRE14.exe","7200"
"SearchFilterHost","C:\WINDOWS\System32\SearchFilterHost.exe","6996"
"SearchHost","C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SearchHost.exe","4432"
"SearchIndexer","C:\WINDOWS\system32\SearchIndexer.exe","6564"
"SearchProtocolHost","C:\WINDOWS\System32\SearchProtocolHost.exe","13556"
"SecurityHealthService",,"8704"
"SecurityHealthSystray","C:\Windows\System32\SecurityHealthSystray.exe","7448"
"services",,"1044"
"ShellExperienceHost","C:\WINDOWS\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe","9696"
"sihost","C:\WINDOWS\system32\sihost.exe","1232"
"smss",,"688"
"spoolsv","C:\WINDOWS\System32\spoolsv.exe","3404"
"Spotify","C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.222.982.0_x64__zpdnekdrzrea0\Spotify.exe","2888"
"Spotify","C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.222.982.0_x64__zpdnekdrzrea0\Spotify.exe","8656"
"Spotify","C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.222.982.0_x64__zpdnekdrzrea0\Spotify.exe","9076"
